COUNTY,HD_CODE,HD_NAME,CD_CODE,CD_NAME,PARTY,SYSDATE,COUNT(V.ID)
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Progressive,03/11/2019,5
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Working Families Party of Oregon,03/11/2019,44
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Republican,03/11/2019,1114
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Democrat,03/11/2019,683
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Democrat,03/11/2019,2318
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Pacific Green,03/11/2019,60
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Democrat,03/11/2019,4654
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Independent Party,03/11/2019,533
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Independent Party,03/11/2019,941
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Independent Party,03/11/2019,141
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Constitution,03/11/2019,22
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Nonaffiliated,03/11/2019,6061
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Republican,03/11/2019,6116
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Working Families Party of Oregon,03/11/2019,9
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Pacific Green,03/11/2019,8
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Nonaffiliated,03/11/2019,3058
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Independent Party,03/11/2019,988
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Nonaffiliated,03/11/2019,6206
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Other,03/11/2019,69
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Progressive,03/11/2019,11
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Pacific Green,03/11/2019,45
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Constitution,03/11/2019,44
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Libertarian,03/11/2019,30
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Libertarian,03/11/2019,74
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Constitution,03/11/2019,11
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Republican,03/11/2019,5122
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Working Families Party of Oregon,03/11/2019,27
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Constitution,03/11/2019,29
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Republican,03/11/2019,5676
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Progressive,03/11/2019,5
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Libertarian,03/11/2019,128
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Nonaffiliated,03/11/2019,1156
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Libertarian,03/11/2019,144
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Working Families Party of Oregon,03/11/2019,29
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Pacific Green,03/11/2019,20
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Democrat,03/11/2019,4345
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Other,03/11/2019,100
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Other,03/11/2019,43
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Other,03/11/2019,71
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Progressive,02/08/2019,5
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Working Families Party of Oregon,02/08/2019,44
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Republican,02/08/2019,1107
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Democrat,02/08/2019,681
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Democrat,02/08/2019,2320
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Pacific Green,02/08/2019,61
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Democrat,02/08/2019,4666
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Independent Party,02/08/2019,535
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Independent Party,02/08/2019,945
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Independent Party,02/08/2019,143
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Constitution,02/08/2019,22
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Nonaffiliated,02/08/2019,6007
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Republican,02/08/2019,6147
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Working Families Party of Oregon,02/08/2019,9
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Pacific Green,02/08/2019,7
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Nonaffiliated,02/08/2019,3034
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Independent Party,02/08/2019,991
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Nonaffiliated,02/08/2019,6141
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Other,02/08/2019,68
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Progressive,02/08/2019,11
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Pacific Green,02/08/2019,47
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Constitution,02/08/2019,44
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Libertarian,02/08/2019,30
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Libertarian,02/08/2019,74
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Constitution,02/08/2019,11
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Republican,02/08/2019,5130
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Working Families Party of Oregon,02/08/2019,28
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Constitution,02/08/2019,29
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Republican,02/08/2019,5686
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Progressive,02/08/2019,5
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Libertarian,02/08/2019,126
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Nonaffiliated,02/08/2019,1142
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Libertarian,02/08/2019,145
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Working Families Party of Oregon,02/08/2019,29
DOUGLAS,SR01,House District 01,4th Cong,"US Representative, 4th District",Pacific Green,02/08/2019,20
